clock-1      | [Clock] 1:snake_length=3 eaten_apples=0 loss=-0.056 policy_loss=0.054 entropy_mean=1.097 grad_norm=0.880 frames=5  sum_reward=4
clock-1      | [Clock] 2:snake_length=3 eaten_apples=0 loss=-0.081 policy_loss=0.029 entropy_mean=1.097 grad_norm=0.601 frames=8  sum_reward=7
clock-1      | [Clock] 3:snake_length=4 eaten_apples=1 loss=-0.103 policy_loss=0.007 entropy_mean=1.097 grad_norm=0.236 frames=61  sum_reward=61
clock-1      | [Clock] 4:snake_length=3 eaten_apples=0 loss=-0.120 policy_loss=-0.010 entropy_mean=1.097 grad_norm=1.061 frames=5  sum_reward=4
clock-1      | [Clock] 5:snake_length=3 eaten_apples=0 loss=-0.118 policy_loss=-0.009 entropy_mean=1.097 grad_norm=0.744 frames=4  sum_reward=3
clock-1      | [Clock] 6:snake_length=3 eaten_apples=0 loss=-0.092 policy_loss=0.018 entropy_mean=1.097 grad_norm=0.371 frames=29  sum_reward=28
clock-1      | [Clock] 7:snake_length=4 eaten_apples=1 loss=-0.081 policy_loss=0.029 entropy_mean=1.097 grad_norm=0.678 frames=11  sum_reward=11
clock-1      | [Clock] 8:snake_length=3 eaten_apples=0 loss=-0.151 policy_loss=-0.041 entropy_mean=1.098 grad_norm=0.851 frames=7  sum_reward=6
clock-1      | [Clock] 9:snake_length=3 eaten_apples=0 loss=-0.109 policy_loss=0.001 entropy_mean=1.097 grad_norm=0.459 frames=9  sum_reward=8
clock-1      | [Clock] 10:snake_length=3 eaten_apples=0 loss=-0.119 policy_loss=-0.009 entropy_mean=1.097 grad_norm=0.167 frames=86  sum_reward=85
clock-1      | [Clock] 11:snake_length=4 eaten_apples=1 loss=-0.135 policy_loss=-0.025 entropy_mean=1.097 grad_norm=0.787 frames=5  sum_reward=5
clock-1      | [Clock] 12:snake_length=3 eaten_apples=0 loss=-0.114 policy_loss=-0.005 entropy_mean=1.098 grad_norm=0.639 frames=5  sum_reward=4
clock-1      | [Clock] 13:snake_length=4 eaten_apples=1 loss=-0.124 policy_loss=-0.014 entropy_mean=1.097 grad_norm=0.481 frames=25  sum_reward=25
clock-1      | [Clock] 14:snake_length=3 eaten_apples=0 loss=-0.089 policy_loss=0.021 entropy_mean=1.096 grad_norm=0.662 frames=5  sum_reward=4
clock-1      | [Clock] 15:snake_length=3 eaten_apples=0 loss=-0.099 policy_loss=0.010 entropy_mean=1.097 grad_norm=0.445 frames=6  sum_reward=5
clock-1      | [Clock] 16:snake_length=3 eaten_apples=0 loss=-0.147 policy_loss=-0.037 entropy_mean=1.095 grad_norm=0.833 frames=5  sum_reward=4
clock-1      | [Clock] 17:snake_length=3 eaten_apples=0 loss=-0.120 policy_loss=-0.011 entropy_mean=1.096 grad_norm=0.202 frames=183  sum_reward=182
clock-1      | [Clock] 18:snake_length=3 eaten_apples=0 loss=-0.119 policy_loss=-0.010 entropy_mean=1.096 grad_norm=0.181 frames=47  sum_reward=46
clock-1      | [Clock] 19:snake_length=3 eaten_apples=0 loss=-0.092 policy_loss=0.018 entropy_mean=1.096 grad_norm=0.409 frames=7  sum_reward=6
clock-1      | [Clock] 20:snake_length=4 eaten_apples=1 loss=-0.149 policy_loss=-0.040 entropy_mean=1.096 grad_norm=0.447 frames=26  sum_reward=26
clock-1      | [Clock] 21:snake_length=3 eaten_apples=0 loss=-0.143 policy_loss=-0.034 entropy_mean=1.096 grad_norm=0.279 frames=30  sum_reward=29
clock-1      | [Clock] 22:snake_length=3 eaten_apples=0 loss=-0.100 policy_loss=0.009 entropy_mean=1.095 grad_norm=0.171 frames=92  sum_reward=91
clock-1      | [Clock] 23:snake_length=4 eaten_apples=1 loss=-0.084 policy_loss=0.025 entropy_mean=1.094 grad_norm=0.417 frames=5  sum_reward=5
clock-1      | [Clock] 24:snake_length=4 eaten_apples=1 loss=-0.082 policy_loss=0.027 entropy_mean=1.095 grad_norm=0.354 frames=34  sum_reward=34
clock-1      | [Clock] 25:snake_length=4 eaten_apples=1 loss=-0.117 policy_loss=-0.007 entropy_mean=1.095 grad_norm=0.215 frames=35  sum_reward=35
clock-1      | [Clock] 26:snake_length=4 eaten_apples=1 loss=-0.093 policy_loss=0.017 entropy_mean=1.094 grad_norm=0.149 frames=62  sum_reward=62
clock-1      | [Clock] 27:snake_length=4 eaten_apples=1 loss=-0.125 policy_loss=-0.016 entropy_mean=1.095 grad_norm=0.572 frames=6  sum_reward=6
clock-1      | [Clock] 28:snake_length=3 eaten_apples=0 loss=-0.097 policy_loss=0.013 entropy_mean=1.095 grad_norm=0.298 frames=14  sum_reward=13
clock-1      | [Clock] 29:snake_length=3 eaten_apples=0 loss=-0.099 policy_loss=0.011 entropy_mean=1.094 grad_norm=0.515 frames=15  sum_reward=14
clock-1      | [Clock] 30:snake_length=4 eaten_apples=1 loss=-0.113 policy_loss=-0.004 entropy_mean=1.094 grad_norm=0.328 frames=10  sum_reward=10
clock-1      | [Clock] 31:snake_length=3 eaten_apples=0 loss=-0.075 policy_loss=0.034 entropy_mean=1.094 grad_norm=0.482 frames=59  sum_reward=58
clock-1      | [Clock] 32:snake_length=4 eaten_apples=1 loss=-0.132 policy_loss=-0.023 entropy_mean=1.094 grad_norm=0.201 frames=33  sum_reward=33
clock-1      | [Clock] 33:snake_length=3 eaten_apples=0 loss=-0.030 policy_loss=0.079 entropy_mean=1.095 grad_norm=0.851 frames=10  sum_reward=9
clock-1      | [Clock] 34:snake_length=4 eaten_apples=1 loss=-0.098 policy_loss=0.011 entropy_mean=1.094 grad_norm=0.170 frames=49  sum_reward=49
clock-1      | [Clock] 35:snake_length=4 eaten_apples=1 loss=-0.141 policy_loss=-0.032 entropy_mean=1.094 grad_norm=0.495 frames=24  sum_reward=24
clock-1      | [Clock] 36:snake_length=3 eaten_apples=0 loss=-0.104 policy_loss=0.005 entropy_mean=1.094 grad_norm=0.153 frames=161  sum_reward=160
clock-1      | [Clock] 37:snake_length=3 eaten_apples=0 loss=-0.105 policy_loss=0.005 entropy_mean=1.094 grad_norm=0.155 frames=60  sum_reward=59
clock-1      | [Clock] 38:snake_length=3 eaten_apples=0 loss=-0.159 policy_loss=-0.049 entropy_mean=1.094 grad_norm=0.359 frames=25  sum_reward=24
clock-1      | [Clock] 39:snake_length=3 eaten_apples=0 loss=-0.112 policy_loss=-0.003 entropy_mean=1.095 grad_norm=0.389 frames=22  sum_reward=21
clock-1      | [Clock] 40:snake_length=3 eaten_apples=0 loss=-0.075 policy_loss=0.035 entropy_mean=1.093 grad_norm=0.422 frames=16  sum_reward=15
clock-1      | [Clock] 41:snake_length=4 eaten_apples=1 loss=-0.075 policy_loss=0.034 entropy_mean=1.094 grad_norm=0.472 frames=14  sum_reward=14
clock-1      | [Clock] 42:snake_length=4 eaten_apples=1 loss=-0.176 policy_loss=-0.067 entropy_mean=1.094 grad_norm=1.182 frames=7  sum_reward=7
clock-1      | [Clock] 43:snake_length=5 eaten_apples=2 loss=-0.149 policy_loss=-0.040 entropy_mean=1.094 grad_norm=0.527 frames=34  sum_reward=35
clock-1      | [Clock] 44:snake_length=3 eaten_apples=0 loss=-0.119 policy_loss=-0.010 entropy_mean=1.094 grad_norm=0.120 frames=40  sum_reward=39
clock-1      | [Clock] 45:snake_length=3 eaten_apples=0 loss=-0.091 policy_loss=0.019 entropy_mean=1.094 grad_norm=0.202 frames=74  sum_reward=73
clock-1      | [Clock] 46:snake_length=3 eaten_apples=0 loss=-0.120 policy_loss=-0.010 entropy_mean=1.095 grad_norm=0.688 frames=7  sum_reward=6
clock-1      | [Clock] 47:snake_length=3 eaten_apples=0 loss=-0.073 policy_loss=0.037 entropy_mean=1.094 grad_norm=0.586 frames=5  sum_reward=4
