clock-1      | [Clock] 1:snake_length=3 eaten_apples=0 loss=-0.178 policy_loss=-0.071 entropy_mean=1.070 grad_norm=0.795 frames=7  sum_reward=6
clock-1      | [Clock] 2:snake_length=3 eaten_apples=0 loss=-0.146 policy_loss=-0.039 entropy_mean=1.069 grad_norm=0.124 frames=145  sum_reward=144
clock-1      | [Clock] 3:snake_length=4 eaten_apples=1 loss=-0.109 policy_loss=-0.002 entropy_mean=1.069 grad_norm=0.144 frames=113  sum_reward=113
clock-1      | [Clock] 4:snake_length=3 eaten_apples=0 loss=-0.068 policy_loss=0.039 entropy_mean=1.069 grad_norm=0.250 frames=20  sum_reward=19
clock-1      | [Clock] 5:snake_length=3 eaten_apples=0 loss=-0.152 policy_loss=-0.045 entropy_mean=1.068 grad_norm=0.238 frames=30  sum_reward=29
clock-1      | [Clock] 6:snake_length=3 eaten_apples=0 loss=-0.112 policy_loss=-0.005 entropy_mean=1.069 grad_norm=0.431 frames=17  sum_reward=16
clock-1      | [Clock] 7:snake_length=3 eaten_apples=0 loss=-0.098 policy_loss=0.009 entropy_mean=1.068 grad_norm=0.053 frames=405  sum_reward=404
clock-1      | [Clock] 8:snake_length=3 eaten_apples=0 loss=-0.128 policy_loss=-0.021 entropy_mean=1.068 grad_norm=0.064 frames=203  sum_reward=202
clock-1      | [Clock] 9:snake_length=4 eaten_apples=1 loss=-0.071 policy_loss=0.035 entropy_mean=1.068 grad_norm=0.140 frames=109  sum_reward=109
clock-1      | [Clock] 10:snake_length=3 eaten_apples=0 loss=-0.169 policy_loss=-0.063 entropy_mean=1.067 grad_norm=0.191 frames=46  sum_reward=45
clock-1      | [Clock] 11:snake_length=4 eaten_apples=1 loss=-0.007 policy_loss=0.100 entropy_mean=1.067 grad_norm=0.449 frames=8  sum_reward=8
clock-1      | [Clock] 12:snake_length=3 eaten_apples=0 loss=-0.128 policy_loss=-0.021 entropy_mean=1.067 grad_norm=0.118 frames=236  sum_reward=235
clock-1      | [Clock] 13:snake_length=3 eaten_apples=0 loss=-0.094 policy_loss=0.013 entropy_mean=1.068 grad_norm=0.098 frames=76  sum_reward=75
clock-1      | [Clock] 14:snake_length=3 eaten_apples=0 loss=-0.163 policy_loss=-0.056 entropy_mean=1.068 grad_norm=0.168 frames=67  sum_reward=66
clock-1      | [Clock] 15:snake_length=3 eaten_apples=0 loss=-0.101 policy_loss=0.005 entropy_mean=1.068 grad_norm=0.209 frames=181  sum_reward=180
clock-1      | [Clock] 16:snake_length=4 eaten_apples=1 loss=-0.115 policy_loss=-0.008 entropy_mean=1.068 grad_norm=0.036 frames=449  sum_reward=449
