clock-1      | [Clock] 1:snake_length=3 eaten_apples=0 loss=-0.098 policy_loss=0.011 entropy_mean=1.083 grad_norm=0.059 frames=296  sum_reward=295
clock-1      | [Clock] 2:snake_length=3 eaten_apples=0 loss=-0.125 policy_loss=-0.016 entropy_mean=1.083 grad_norm=0.094 frames=121  sum_reward=120
clock-1      | [Clock] 3:snake_length=3 eaten_apples=0 loss=-0.089 policy_loss=0.019 entropy_mean=1.083 grad_norm=0.097 frames=298  sum_reward=297
clock-1      | [Clock] 4:snake_length=4 eaten_apples=1 loss=-0.090 policy_loss=0.018 entropy_mean=1.083 grad_norm=0.173 frames=116  sum_reward=116
clock-1      | [Clock] 5:snake_length=4 eaten_apples=1 loss=-0.130 policy_loss=-0.022 entropy_mean=1.084 grad_norm=0.196 frames=51  sum_reward=51
clock-1      | [Clock] 6:snake_length=3 eaten_apples=0 loss=-0.090 policy_loss=0.018 entropy_mean=1.084 grad_norm=0.104 frames=207  sum_reward=206
clock-1      | [Clock] 7:snake_length=3 eaten_apples=0 loss=-0.127 policy_loss=-0.018 entropy_mean=1.084 grad_norm=0.149 frames=95  sum_reward=94
clock-1      | [Clock] 8:snake_length=4 eaten_apples=1 loss=-0.108 policy_loss=0.000 entropy_mean=1.085 grad_norm=0.162 frames=29  sum_reward=29
clock-1      | [Clock] 9:snake_length=3 eaten_apples=0 loss=-0.144 policy_loss=-0.036 entropy_mean=1.084 grad_norm=0.207 frames=84  sum_reward=83
clock-1      | [Clock] 10:snake_length=3 eaten_apples=0 loss=-0.030 policy_loss=0.078 entropy_mean=1.084 grad_norm=0.420 frames=19  sum_reward=18
clock-1      | [Clock] 11:snake_length=4 eaten_apples=1 loss=-0.110 policy_loss=-0.002 entropy_mean=1.084 grad_norm=0.092 frames=474  sum_reward=474
clock-1      | [Clock] 12:snake_length=3 eaten_apples=0 loss=-0.124 policy_loss=-0.016 entropy_mean=1.084 grad_norm=0.132 frames=216  sum_reward=215
clock-1      | [Clock] 13:snake_length=3 eaten_apples=0 loss=-0.122 policy_loss=-0.013 entropy_mean=1.084 grad_norm=0.081 frames=168  sum_reward=167
clock-1      | [Clock] 14:snake_length=3 eaten_apples=0 loss=-0.128 policy_loss=-0.020 entropy_mean=1.084 grad_norm=0.078 frames=189  sum_reward=188
clock-1      | [Clock] 15:snake_length=3 eaten_apples=0 loss=-0.105 policy_loss=0.004 entropy_mean=1.084 grad_norm=0.252 frames=88  sum_reward=87
clock-1      | [Clock] 16:snake_length=3 eaten_apples=0 loss=-0.136 policy_loss=-0.027 entropy_mean=1.084 grad_norm=0.123 frames=61  sum_reward=60
clock-1      | [Clock] 17:snake_length=3 eaten_apples=0 loss=-0.117 policy_loss=-0.008 entropy_mean=1.084 grad_norm=0.047 frames=244  sum_reward=243
clock-1      | [Clock] 18:snake_length=3 eaten_apples=0 loss=-0.100 policy_loss=0.008 entropy_mean=1.084 grad_norm=0.073 frames=163  sum_reward=162
clock-1      | [Clock] 19:snake_length=3 eaten_apples=0 loss=-0.110 policy_loss=-0.002 entropy_mean=1.084 grad_norm=0.135 frames=250  sum_reward=249
clock-1      | [Clock] 20:snake_length=3 eaten_apples=0 loss=-0.103 policy_loss=0.005 entropy_mean=1.084 grad_norm=0.199 frames=6  sum_reward=5
clock-1      | [Clock] 21:snake_length=3 eaten_apples=0 loss=-0.103 policy_loss=0.006 entropy_mean=1.084 grad_norm=0.100 frames=162  sum_reward=161
clock-1      | [Clock] 22:snake_length=3 eaten_apples=0 loss=-0.075 policy_loss=0.033 entropy_mean=1.084 grad_norm=0.229 frames=79  sum_reward=78
clock-1      | [Clock] 23:snake_length=3 eaten_apples=0 loss=-0.137 policy_loss=-0.029 entropy_mean=1.084 grad_norm=0.209 frames=52  sum_reward=51
clock-1      | [Clock] 24:snake_length=3 eaten_apples=0 loss=-0.013 policy_loss=0.095 entropy_mean=1.083 grad_norm=0.643 frames=9  sum_reward=8
clock-1      | [Clock] 25:snake_length=3 eaten_apples=0 loss=-0.106 policy_loss=0.002 entropy_mean=1.084 grad_norm=0.041 frames=500  sum_reward=499
clock-1      | [Clock] 26:snake_length=3 eaten_apples=0 loss=-0.100 policy_loss=0.009 entropy_mean=1.084 grad_norm=0.106 frames=72  sum_reward=71
clock-1      | [Clock] 27:snake_length=3 eaten_apples=0 loss=-0.126 policy_loss=-0.017 entropy_mean=1.085 grad_norm=0.137 frames=134  sum_reward=133
clock-1      | [Clock] 28:snake_length=3 eaten_apples=0 loss=-0.107 policy_loss=0.002 entropy_mean=1.085 grad_norm=0.093 frames=172  sum_reward=171
clock-1      | [Clock] 29:snake_length=3 eaten_apples=0 loss=-0.049 policy_loss=0.060 entropy_mean=1.085 grad_norm=0.428 frames=95  sum_reward=94
clock-1      | [Clock] 30:snake_length=3 eaten_apples=0 loss=-0.112 policy_loss=-0.003 entropy_mean=1.086 grad_norm=0.087 frames=163  sum_reward=162
clock-1      | [Clock] 31:snake_length=3 eaten_apples=0 loss=-0.115 policy_loss=-0.007 entropy_mean=1.086 grad_norm=0.083 frames=500  sum_reward=499
clock-1      | [Clock] 32:snake_length=3 eaten_apples=0 loss=-0.192 policy_loss=-0.083 entropy_mean=1.086 grad_norm=0.428 frames=24  sum_reward=23
clock-1      | [Clock] 33:snake_length=4 eaten_apples=1 loss=-0.078 policy_loss=0.031 entropy_mean=1.086 grad_norm=0.386 frames=33  sum_reward=33
clock-1      | [Clock] 34:snake_length=4 eaten_apples=1 loss=-0.187 policy_loss=-0.078 entropy_mean=1.086 grad_norm=0.334 frames=50  sum_reward=50
clock-1      | [Clock] 35:snake_length=4 eaten_apples=1 loss=-0.133 policy_loss=-0.025 entropy_mean=1.086 grad_norm=0.228 frames=94  sum_reward=94
clock-1      | [Clock] 36:snake_length=3 eaten_apples=0 loss=-0.108 policy_loss=0.000 entropy_mean=1.086 grad_norm=0.168 frames=164  sum_reward=163
clock-1      | [Clock] 37:snake_length=3 eaten_apples=0 loss=-0.117 policy_loss=-0.008 entropy_mean=1.086 grad_norm=0.096 frames=67  sum_reward=66
clock-1      | [Clock] 38:snake_length=3 eaten_apples=0 loss=-0.088 policy_loss=0.020 entropy_mean=1.085 grad_norm=0.236 frames=11  sum_reward=10
clock-1      | [Clock] 39:snake_length=3 eaten_apples=0 loss=-0.100 policy_loss=0.009 entropy_mean=1.086 grad_norm=0.114 frames=108  sum_reward=107
clock-1      | [Clock] 40:snake_length=3 eaten_apples=0 loss=-0.063 policy_loss=0.045 entropy_mean=1.085 grad_norm=0.202 frames=19  sum_reward=18
clock-1      | [Clock] 41:snake_length=4 eaten_apples=1 loss=-0.122 policy_loss=-0.013 entropy_mean=1.085 grad_norm=0.249 frames=49  sum_reward=49
clock-1      | [Clock] 42:snake_length=3 eaten_apples=0 loss=-0.095 policy_loss=0.013 entropy_mean=1.086 grad_norm=0.074 frames=88  sum_reward=87
clock-1      | [Clock] 43:snake_length=3 eaten_apples=0 loss=-0.067 policy_loss=0.042 entropy_mean=1.085 grad_norm=0.242 frames=29  sum_reward=28
clock-1      | [Clock] 44:snake_length=3 eaten_apples=0 loss=-0.158 policy_loss=-0.049 entropy_mean=1.085 grad_norm=0.268 frames=29  sum_reward=28
clock-1      | [Clock] 45:snake_length=3 eaten_apples=0 loss=-0.209 policy_loss=-0.101 entropy_mean=1.085 grad_norm=0.760 frames=8  sum_reward=7
clock-1      | [Clock] 46:snake_length=3 eaten_apples=0 loss=-0.151 policy_loss=-0.042 entropy_mean=1.086 grad_norm=0.270 frames=22  sum_reward=21
