episode,score
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,2
23,1
24,1
25,1
26,2
27,1
28,1
29,2
30,1
31,2
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,2
40,1
41,1
42,1
43,1
44,1
45,1
46,2
47,1
48,1
49,3
50,1
51,1
52,1
53,1
54,1
55,1
56,2
57,3
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,2
66,2
67,1
68,1
69,1
70,2
71,1
72,2
73,1
74,1
75,2
76,1
77,1
78,1
79,1
80,1
81,3
82,3
83,2
84,2
85,2
86,2
87,1
88,1
89,1
90,2
91,3
92,1
93,2
94,1
95,2
96,1
97,1
98,4
99,1
100,1
101,1
102,2
103,2
104,1
105,1
106,1
107,1
108,1
109,2
110,1
111,2
112,1
113,3
114,1
115,1
116,1
117,2
118,1
119,3
120,2
121,1
122,2
123,1
124,5
125,2
126,1
127,2
128,2
129,1
130,1
131,3
132,3
133,2
134,3
135,1
136,1
137,1
138,2
139,4
140,6
141,1
142,3
143,3
144,1
145,1
146,2
147,1
148,2
149,3
150,1
151,2
152,1
153,1
154,1
155,1
156,3
157,3
158,4
159,1
160,1
161,3
162,2
163,4
164,3
165,1
166,5
167,3
168,3
169,2
170,3
171,1
172,1
173,3
174,1
175,2
176,2
177,2
178,1
179,4
180,2
181,3
182,3
183,3
184,1
185,2
186,1
187,1
188,1
189,4
190,1
191,4
192,3
193,1
194,4
195,1
196,2
197,3
198,5
199,2
200,3
201,2
202,1
203,1
204,4
205,5
206,3
207,1
208,3
209,5
210,3
211,1
212,4
213,3
214,3
215,5
216,5
217,1
218,3
219,5
220,4
221,5
222,4
223,5
224,1
225,5
226,1
227,3
228,4
229,3
230,3
231,4
232,1
233,3
234,3
235,5
236,3
237,5
238,3
239,3
240,4
241,4
242,3
243,3
244,3
245,3
246,3
247,1
248,3
249,1
250,3
251,4
252,5
253,3
254,1
255,1
256,3
257,1
258,5
259,4
260,6
261,3
262,5
263,2
264,3
265,4
266,3
267,5
268,3
269,1
270,2
271,5
272,1
273,5
274,6
275,2
276,3
277,1
278,2
279,1
280,5
281,4
282,4
283,3
284,3
285,4
286,3
287,3
288,1
289,6
290,1
291,5
292,1
293,5
294,5
295,1
296,3
297,4
298,1
299,6
300,4
301,3
302,2
303,1
304,3
305,5
306,5
307,5
308,3
309,3
310,5
311,3
312,2
313,4
314,4
315,4
316,3
317,5
318,3
319,5
320,4
321,5
322,1
323,2
324,3
325,5
326,1
327,3
328,2
329,5
330,3
331,3
332,2
333,4
334,2
335,3
336,5
337,2
338,6
339,2
340,4
341,2
342,3
343,3
344,3
345,5
346,3
347,6
348,4
349,5
350,3
351,3
352,6
353,4
354,1
355,5
356,3
357,3
358,3
359,3
360,2
361,3
362,3
363,7
364,4
365,3
366,7
367,3
368,6
369,7
370,7
371,8
372,5
373,8
374,3
375,4
376,1
377,2
378,5
379,2
380,4
381,2
382,3
383,4
384,5
385,4
386,6
387,7
388,3
389,3
390,3
391,2
392,1
393,4
394,3
395,7
396,6
397,3
398,3
399,3
400,4
401,7
402,3
403,5
404,6
405,5
406,5
407,3
408,6
409,4
410,5
411,9
412,5
413,5
414,5
415,5
416,3
417,3
418,7
419,4
420,5
421,4
422,2
423,5
424,6
425,6
426,1
427,8
428,6
429,7
430,4
431,3
432,9
433,4
434,1
435,4
436,3
437,3
438,2
439,3
440,4
441,3
442,1
443,5
444,3
445,6
446,1
447,5
448,1
449,7
450,6
451,6
452,5
453,5
454,3
455,4
456,5
457,2
458,5
459,4
460,7
461,5
462,7
463,7
464,6
465,7
466,1
467,8
468,8
469,6
470,5
471,7
472,7
473,7
474,3
475,5
476,7
477,3
478,3
479,7
480,6
481,6
482,8
483,7
484,6
485,5
486,7
487,7
488,6
489,6
490,4
491,3
492,6
493,5
494,7
495,5
496,7
497,7
498,5
499,5
500,5
501,4
502,6
503,5
504,5
505,3
506,8
507,5
508,5
509,7
510,4
511,5
512,7
513,3
514,7
515,5
516,7
517,6
518,3
519,5
520,3
521,6
522,3
523,7
524,7
525,6
526,8
527,6
528,6
529,11
530,7
531,3
532,5
533,12
534,10
535,5
536,3
537,7
538,5
539,12
540,5
541,7
542,7
543,7
544,7
545,5
546,4
547,6
548,6
549,10
550,7
551,7
552,5
553,5
554,5
555,6
556,7
557,8
558,6
559,8
560,5
561,6
562,10
563,5
564,7
565,5
566,7
567,3
568,5
569,1
570,8
571,6
572,11
573,11
574,4
575,8
576,1
577,8
578,5
579,1
580,1
581,7
582,3
583,4
584,5
585,2
586,6
587,6
588,11
589,8
590,6
591,9
592,11
593,8
594,9
595,7
596,8
597,9
598,6
599,10
600,10
601,5
602,4
603,1
604,5
605,3
606,9
607,7
608,9
609,8
610,3
611,1
612,7
613,9
614,8
615,5
616,7
617,11
618,5
619,10
620,10
621,10
622,6
623,12
624,5
625,13
626,7
627,4
628,7
629,6
630,6
631,3
632,6
633,5
634,8
635,4
636,5
637,7
638,3
639,6
640,3
641,10
642,17
643,16
644,6
645,7
646,8
647,20
648,10
649,8
650,7
651,7
652,13
653,10
654,4
655,6
656,5
657,5
658,3
659,5
660,7
661,8
662,18
663,15
664,11
665,5
666,12
667,8
668,10
669,8
670,7
671,12
672,13
673,5
674,8
675,7
676,13
677,5
678,3
679,9
680,7
681,12
682,5
683,1
684,13
685,6
686,17
687,2
688,3
689,4
690,15
691,12
692,11
693,5
694,7
695,5
696,4
697,9
698,5
699,9
700,7
701,2
702,6
703,6
704,5
705,5
706,6
707,10
708,9
709,9
710,1
711,10
712,8
713,3
714,10
715,5
716,11
717,8
718,7
719,5
720,9
721,2
722,6
723,7
724,18
725,9
726,13
727,7
728,7
729,20
730,9
731,5
732,7
733,6
734,7
735,3
736,7
737,5
738,8
739,6
740,4
741,11
742,5
743,11
744,10
745,6
746,6
747,9
748,9
749,11
750,7
751,16
752,6
753,10
754,7
755,5
756,7
757,9
758,9
759,7
760,7
761,3
762,7
763,9
764,11
765,15
766,5
767,7
768,9
769,5
770,4
771,5
772,5
773,17
774,15
775,9
776,13
777,8
778,5
779,14
780,8
781,5
782,7
783,10
784,13
785,4
786,7
787,5
788,8
789,5
790,7
791,9
792,8
793,9
794,3
795,13
796,4
797,7
798,10
799,13
800,25
801,9
802,6
803,13
804,15
805,9
806,12
807,5
808,8
809,10
810,2
811,7
812,3
