"container","event","avg_us"
"env","manual_test_after_setup",9113328
"inference","failed_to_get_state",686613.0666666667
"inference","received_improved_model",106422.24081632654
"inference","local_training_step_summary",38927.216326530615
"env","get_snake_state",8956.56889736892
"inference","predicted_action",6843.2100666443075
"inference","starting_episode",6240.291497975709
"env","game_reset",6159.187755102041
"inference","sent_move",4112.084781658401
"env","move_processed",4032.9429971661566
"inference","created_fresh_model_for_cold_start",2226
"inference","validate_input_size",1180.179472045447
"inference","weight_update_debug",1153.6612244897958
"inference","created_new_model",1051.5
"env","snake_spawned",985.260162601626
"env","frame",906.772722004939
"inference","cold_start_completed",714
"env","food_consumed",691.9509708737864
"env","normal_tail_removal",671.6300658581603
"inference","environment_reset_successful",650.7755102040817
"inference","processed_state_legacy_style",643.1021445376159
"inference","mode_configured",636
"inference","starting_neural_agent_local",614.5
"env","food_spawned",611.2945770065076
"env","checking_food_spawn",586.624242549856
"env","ticks_reset",531.8985332672005
"env","game_over",522.7521367521367
"inference","received_state",509.49955891197976
"inference","",504.7073170731707
"inference","debug_visible_cells_in_process_state",435.6870780643139
"inference","state_received",433.26978384567525
"env","game_stepped",420.6365935092929
"inference","no_onnx_models_found_for_snake",406.5
"env","triggering_food_spawn",401.43155339805827
"env","game_over_results",389.04700854700855
"inference","snake_length_improved",379.48244473342004
"inference","ready_to_send_batch",365.979674796748
"inference","added_experience",365.1138967924682
"inference","local_training_start",363.5691056910569
"inference","episode_ended",355.6341463414634
"inference","sending_batch",350.7073170731707
"inference","early_stopping_triggered",339.4166666666667
"inference","batch_size_configured",309.5
"inference","agent_initialized",305
"inference","no_saved_onnx_models_found",261
"inference","no_existing_models_found",258
"inference","no_existing_onnx_models_found",244
"inference","early_stopping_config",229
"inference","starting_synchronous_agent",228.5
